1.002469980200000323e-05,2.836205124358511697e-05,6.837806101654920956e-05,1.404781594318328132e-04,2.459312506095212136e-04,3.668863135810882577e-04,4.664039144045109314e-04,5.052493287873850540e-04,4.664039144045109314e-04,3.668863135810882577e-04,2.459312506095212136e-04,1.404781594318328132e-04,6.837806101654920956e-05,2.836205124358511697e-05,1.002469980200000323e-05
2.836205124358511697e-05,8.024239794026183305e-05,1.934563736363901099e-04,3.974431988093324233e-04,6.957928785852144369e-04,1.038001000716336697e-03,1.319557890193410804e-03,1.429459997494975185e-03,1.319557890193410804e-03,1.038001000716336697e-03,6.957928785852144369e-04,3.974431988093324233e-04,1.934563736363901099e-04,8.024239794026183305e-05,2.836205124358511697e-05
6.837806101654920956e-05,1.934563736363901099e-04,4.664039144045109314e-04,9.581956913269367880e-04,1.677486846708278745e-03,2.502516307887786649e-03,3.181321730067806965e-03,3.446284688295781027e-03,3.181321730067806965e-03,2.502516307887786649e-03,1.677486846708278745e-03,9.581956913269367880e-04,4.664039144045109314e-04,1.934563736363901099e-04,6.837806101654920956e-05
1.404781594318328132e-04,3.974431988093324233e-04,9.581956913269367880e-04,1.968549050557937604e-03,3.446284688295781027e-03,5.141252613102591934e-03,6.535813015994372185e-03,7.080161716968370704e-03,6.535813015994372185e-03,5.141252613102591934e-03,3.446284688295781027e-03,1.968549050557937604e-03,9.581956913269367880e-04,3.974431988093324233e-04,1.404781594318328132e-04
2.459312506095212136e-04,6.957928785852144369e-04,1.677486846708278745e-03,3.446284688295781027e-03,6.033315831990944053e-03,9.000649566834179743e-03,1.144206811417866794e-02,1.239504441554575495e-02,1.144206811417866794e-02,9.000649566834179743e-03,6.033315831990944053e-03,3.446284688295781027e-03,1.677486846708278745e-03,6.957928785852144369e-04,2.459312506095212136e-04
3.668863135810882577e-04,1.038001000716336697e-03,2.502516307887786649e-03,5.141252613102591934e-03,9.000649566834179743e-03,1.342739131861742964e-02,1.706955980482541269e-02,1.849123338747166168e-02,1.706955980482541269e-02,1.342739131861742964e-02,9.000649566834179743e-03,5.141252613102591934e-03,2.502516307887786649e-03,1.038001000716336697e-03,3.668863135810882577e-04
4.664039144045109314e-04,1.319557890193410804e-03,3.181321730067806965e-03,6.535813015994372185e-03,1.144206811417866794e-02,1.706955980482541269e-02,2.169966339824470902e-02,2.350696473221813507e-02,2.169966339824470902e-02,1.706955980482541269e-02,1.144206811417866794e-02,6.535813015994372185e-03,3.181321730067806965e-03,1.319557890193410804e-03,4.664039144045109314e-04
5.052493287873850540e-04,1.429459997494975185e-03,3.446284688295781027e-03,7.080161716968370704e-03,1.239504441554575495e-02,1.849123338747166168e-02,2.350696473221813507e-02,2.546479089470325349e-02,2.350696473221813507e-02,1.849123338747166168e-02,1.239504441554575495e-02,7.080161716968370704e-03,3.446284688295781027e-03,1.429459997494975185e-03,5.052493287873850540e-04
4.664039144045109314e-04,1.319557890193410804e-03,3.181321730067806965e-03,6.535813015994372185e-03,1.144206811417866794e-02,1.706955980482541269e-02,2.169966339824470902e-02,2.350696473221813507e-02,2.169966339824470902e-02,1.706955980482541269e-02,1.144206811417866794e-02,6.535813015994372185e-03,3.181321730067806965e-03,1.319557890193410804e-03,4.664039144045109314e-04
3.668863135810882577e-04,1.038001000716336697e-03,2.502516307887786649e-03,5.141252613102591934e-03,9.000649566834179743e-03,1.342739131861742964e-02,1.706955980482541269e-02,1.849123338747166168e-02,1.706955980482541269e-02,1.342739131861742964e-02,9.000649566834179743e-03,5.141252613102591934e-03,2.502516307887786649e-03,1.038001000716336697e-03,3.668863135810882577e-04
2.459312506095212136e-04,6.957928785852144369e-04,1.677486846708278745e-03,3.446284688295781027e-03,6.033315831990944053e-03,9.000649566834179743e-03,1.144206811417866794e-02,1.239504441554575495e-02,1.144206811417866794e-02,9.000649566834179743e-03,6.033315831990944053e-03,3.446284688295781027e-03,1.677486846708278745e-03,6.957928785852144369e-04,2.459312506095212136e-04
1.404781594318328132e-04,3.974431988093324233e-04,9.581956913269367880e-04,1.968549050557937604e-03,3.446284688295781027e-03,5.141252613102591934e-03,6.535813015994372185e-03,7.080161716968370704e-03,6.535813015994372185e-03,5.141252613102591934e-03,3.446284688295781027e-03,1.968549050557937604e-03,9.581956913269367880e-04,3.974431988093324233e-04,1.404781594318328132e-04
6.837806101654920956e-05,1.934563736363901099e-04,4.664039144045109314e-04,9.581956913269367880e-04,1.677486846708278745e-03,2.502516307887786649e-03,3.181321730067806965e-03,3.446284688295781027e-03,3.181321730067806965e-03,2.502516307887786649e-03,1.677486846708278745e-03,9.581956913269367880e-04,4.664039144045109314e-04,1.934563736363901099e-04,6.837806101654920956e-05
2.836205124358511697e-05,8.024239794026183305e-05,1.934563736363901099e-04,3.974431988093324233e-04,6.957928785852144369e-04,1.038001000716336697e-03,1.319557890193410804e-03,1.429459997494975185e-03,1.319557890193410804e-03,1.038001000716336697e-03,6.957928785852144369e-04,3.974431988093324233e-04,1.934563736363901099e-04,8.024239794026183305e-05,2.836205124358511697e-05
1.002469980200000323e-05,2.836205124358511697e-05,6.837806101654920956e-05,1.404781594318328132e-04,2.459312506095212136e-04,3.668863135810882577e-04,4.664039144045109314e-04,5.052493287873850540e-04,4.664039144045109314e-04,3.668863135810882577e-04,2.459312506095212136e-04,1.404781594318328132e-04,6.837806101654920956e-05,2.836205124358511697e-05,1.002469980200000323e-05
